SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
071118-LF-27,98,IDK,99,IDK,29,29,109,109,,,,0,,RMS,
070618-SWH-04,9,7,10,11,9,9,14,14,,,,0,,RMS,"1, 1-2, 1-10, [can you continue], 1-9 [wca 9?] 7, [wca 10], 11 [wca 11] 12 [can you continue] [11] 12-14, 19 [wca 14] 19 [15 comes after 14. can you contniue. wca 15] 6"
070618-SWH-04,14,19,15,6,9,9,14,14,,,,0,,RMS,
070618-SWH-05,20,IDK,21,24,20,20,20,20,,,,0,,RMS,"1-20 [wca 20] IDK [21] 21, 24"
070618-SWH-09,49,40,50,51,49,49,99,99,,,,0,,RMS,"1-28 [wca24-E interrupted bc couldn't hear well but i think kid did get mid20s right] 25-49 [wca 49] 40 [50] 51-59 [wca59][60]61-69, 40 [70 comes after 69] 71-99, 10 [100] "
070618-SWH-09,59,NA,60,61,49,49,99,99,,,,0,,RMS,
070618-SWH-09,69,40,70,71,49,49,99,99,,,,0,,RMS,
070618-SWH-09,99,10,100,IDK,49,49,99,99,,,,0,,RMS,
070618-SWH-11,10,NA,11,12,10,10,15,15,,,,0,,RMS,"1-10 [wca 10] NR [11 comes after 10] 12, 19 [wca 12] 13-15, 11, [wca 15] 14, [16 comes after 15] 16 [wca 16] IDK "
070618-SWH-11,15,11,16,IDK,10,10,15,15,,,,0,,RMS,
070618-SWH-14,11,1-0,12,NA,11,11,11,11,,,,0,,RMS,"1-10 [wca 10] 11-15 [wca 11-E interrupted bc I think she couldn't hear but I think kid got to 15 okay] 1, 0 [12 comes after 11. wca 12] "
070618-SWH-15,29,21,30,1 plus 10,29,29,29,29,,,,0,,RMS,"1-20, 21, 22-29 (kid used a slightly diff pronunciation for ""20"" for 22-29), 21, [30] one plus 10."
070618-SWH-16,39,30,40,41,39,39,98,98,,,,0,,RMS,"1-39, 30, [40], 41-65, 64, [wca65], 66-69, [wca69] [70], 71-98, [wca98], 90, 10, [99], DK"
070618-SWH-16,69,NA,70,71,39,39,98,98,,,,0,,RMS,
070618-SWH-16,98,ninety ten,99,IDK,39,39,98,98,,,,0,,RMS,
070618-SWH-17,30,42,31,34,30,30,30,30,,,,0,,RMS,"1-30, 41, 42 [wca 30] [31], 34"
070618-SWH-19,18,20,19,IDK,18,18,18,18,,,,0,,RMS,"1-18, 20 [wca 18] 21, [19] 7?, DK"
070518-SWH-20,99,NA,100,101,99,99,109,109,,,101 correct,0,,RMS,"1-29... [29] 30, 31-37 [37] 38, 39, 20, [39], 40-57, [57], 58-98...[98] 99 [100] 101-109, 100..200, [110], 112 "
070518-SWH-20,109,IDK,110,112,99,99,109,109,,,,0,,RMS,
